"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060017336","49818","7688"
"T20060017435","45344","9319"
"T20060017450","41890","6136"
"T20060017461","43632","6987"
"T20060017546","52250","102383"
"T20060017647","46463","6631"
"T20060017665","42791","6729"
"T20060017759","83","9595"
"T20060017822","65993","5455"
"T20060017846","11171","9533"
"T20060017953","35744","8726"
"T20060017961","203106","8964"
"T20060018013","41777","6077"
"T20060018067","44459","7816"
"T20060018123","39425","5482"
"T20060018157","55325","8602"
"T20060018229","48959","9597"
"T20060018247","39785","5546"
"T20060018278","49935","7716"
"T20060018299","42590","6582"
"T20060018325","29836","9639"
"T20060018376","29404","6979"
"T20060018471","41016","5671"
"T20060018500","627","5612"
"T20060018539","29700","6848"
"T20060018601","40490","103203"
"T20060018614","40576","5823"
"T20060018623","44303","9879"
"T20060018715","17632","3146"
"T20060018716","39765","5273"
"T20060018815","33879","1002"
"T20060018840","40490","103203"
"T20060018844","41271","5946"
"T20060018924","29372","9496"
"T20060018971","721","6337"
"T20060019026","50179","7811"
"T20060019056","35596","6434"
"T20060019093","57542","6054"
"T20060019110","2357","5344"
"T20060019253","1015","7062"
"T20060019278","35627","6975"
"T20060019296","41833","6233"
"T20060019320","35526","5599"
"T20060019572","40484","8992"
"T20060019597","242","9751"
"T20060019615","36948","8706"
"T20060019624","43716","8747"
"T20060019768","44303","9879"
"T20060019956","43027","6714"
"T20060019966","39806","5327"
"T20060019967","29416","9692"
"T20060020007","36731","5915"
"T20060020093","43287","7003"
"T20060020144","42411","6472"
"T20060020155","205224","9692"
"T20060020172","37592","9826"
"T20060020183","44972","9269"
"T20060020204","26280","6340"
"T20060020261","43152","6692"
"T20060020343","54466","1298"
"T20060020382","36809","6270"
"T20060020404","19364","4094"
"T20060020558","55677","8841"
"T20060020569","48334","7644"
"T20060020578","55679","7669"
"T20060020583","37587","9796"
"T20060020622","52777","2300"
"T20060020632","35681","4090"
"T20060020659","40490","103203"
"T20060020676","15406","7740"
"T20060020687","44317","9995"
"T20060020694","40205","5914"
"T20060020697","45937","5427"
"T20060020734","207121","5456"
"T20060020808","29502","100450"
"T20060020809","43287","7003"
"T20060020899","45881","1030"
"T20060020970","56203","100487"
"T20060020992","54453","9737"
"T20060021013","57538","6043"
"T20060021058","39785","5546"
"T20060021113","46085","1000"
"T20060021128","57542","6054"
"T20060021135","42658","6571"
"T20060021275","35482","5342"
"T20060021284","50841","3019"
"T20060021286","36210","9572"
"T20060021309","39267","5408"
"T20060021350","35778","1028"
"T20060021395","38198","8837"
"T20060021402","41832","6239"
"T20060021407","33879","1002"
"T20060021422","793","1000"
